alert-triangle	E900
archive	E901
arrow-left	E902
arrow-right	E903
arrow-up	E904
at-sign	E905
award	E906
badge-check	E907
banknote	E908
bar-chart	E909
bath	E90A
battery-full	E90B
bell	E90C
bell-off	E90D
bone	E90E
book	E90F
book-open	E910
bookmark	E911
brain	E912
brush	E913
building-2	E914
calendar	E915
camera	E916
cat	E917
check	E918
check-circle	E919
chevron-down	E91A
chevron-left	E91B
chevron-right	E91C
clipboard-list	E91D
clock	E91E
close-circle	E91F
cloud	E920
coins	E921
copy	E922
cpu	E923
credit-card	E924
crown	E925
delete	E926
dog	E927
download	E928
droplet	E929
edit-3	E92A
external-link	E92B
eye	E92C
eye-off	E92D
file-text	E92E
flag	E92F
flame	E930
flashlight	E931
footprints	E932
gauge	E933
gift	E934
globe	E935
grid	E936
handshake	E937
headphones	E938
heart	E939
help-circle	E93A
history	E93B
home	E93C
image	E93D
inbox	E93E
info	E93F
key	E940
landmark	E941
layout-grid	E942
lightbulb	E943
line-chart	E944
link	E945
list	E946
lock	E947
log-out	E948
mail	E949
map-pin	E94A
medal	E94B
message-circle	E94C
message-square	E94D
mic	E94E
minus	E94F
monitor	E950
moon	E951
more-horizontal	E952
package	E953
party-popper	E954
pause	E955
paw-print	E956
pencil	E957
percent	E958
phone	E959
pill	E95A
play	E95B
plus	E95C
qr-code	E95D
receipt	E95E
recycle	E95F
refresh-cw	E960
repeat	E961
rotate-ccw	E962
scale	E963
scan-line	E964
scissors	E965
scroll-text	E966
search	E967
send	E968
settings	E969
share-2	E96A
shield	E96B
shopping-bag	E96C
shopping-cart	E96D
shuffle	E96E
signal	E96F
smartphone	E970
smile	E971
sparkles	E972
spray-can	E973
star	E974
stethoscope	E975
sun	E976
syringe	E977
tag	E978
target	E979
thumbs-down	E97A
thumbs-up	E97B
ticket	E97C
trash-2	E97D
trending-up	E97E
trophy	E97F
truck	E980
upload	E981
user	E982
user-plus	E983
users	E984
utensils	E985
verified	E986
video	E987
volume-2	E988
wallet	E989
wifi	E98A
x	E98B
x-circle	E98C
zap	E98D
